"feedback_id";"user_id";"comment";"rating";"feedback_time"
1;1;"The bot provided accurate information about Blister Blight.";5;"2024-01-15 09:30:00"
2;2;"The response for Red Rust was helpful but could be more detailed.";4;"2024-01-20 15:00:00"
3;3;"The explanation for Black Rot was clear and concise.";5;"2024-02-05 11:30:00"
4;4;"The bot did not recognize my tea leaf issue initially.";3;"2024-02-10 17:15:00"
5;5;"The Dieback identification guide was very useful.";5;"2024-03-02 10:15:00"
6;2;"The treatment suggestions for Blister Blight were effective.";4;"2024-03-18 12:45:00"
7;3;"The Red Rust management tips were practical.";5;"2024-04-07 14:30:00"
8;4;"The bot response for Black Rot was too generic.";3;"2024-04-15 19:00:00"
9;5;"The Algal Leaf Spot control measures worked well.";4;"2024-05-12 08:45:00"
10;1;"The Dieback explanation was easy to understand.";5;"2024-05-25 13:15:00"
11;2;"The prevention tips for Black Rot were helpful.";4;"2024-06-01 11:00:00"
12;3;"The treatment for Algal Leaf Spot was effective.";5;"2024-06-19 16:15:00"
13;4;"The Blister Blight identification guide was accurate.";4;"2024-07-04 11:00:00"
14;5;"The Red Rust symptoms description was clear.";5;"2024-07-22 18:45:00"
15;1;"The Dieback management tips were practical.";4;"2024-08-09 09:15:00"
16;2;"The Algal Leaf Spot treatment worked well.";5;"2024-08-27 21:00:00"
17;1;"The Brown Rot explanation was helpful.";4;"2025-02-09 15:30:00"
18;4;"The ""No Disease Detected"" response was reassuring.";5;"2025-02-09 15:45:00"
19;2;"The Red Spider Mite treatment was effective.";4;"2025-02-09 16:00:00"
20;5;"The bot response for no disease detected was clear.";5;"2025-02-09 16:15:00"
21;3;"The Brown Rot prevention tips were useful.";4;"2025-02-09 16:30:00"
